term,a1_bin,a1_perc,a2_bin,a2_perc
weinstein kevin spacey,7.0,0.039,0.0,0.0
harvey weinstein kevin,7.0,0.036000000000000004,0.0,0.0
producer harvey weinstein,4.0,0.023,1.0,0.004
kevin spacey louis,3.0,0.013000000000000001,0.0,0.0
cards kevin spacey,2.0,0.009000000000000001,0.0,0.0
anthony rapp spacey,2.0,0.009000000000000001,0.0,0.0
matt lauer kevin,2.0,0.008,0.0,0.0
lauer kevin spacey,2.0,0.008,0.0,0.0
kevin spacey misconduct,2.0,0.008,0.0,0.0
misconduct kevin spacey,2.0,0.006999999999999999,0.0,0.0
kevin spacey cards,2.0,0.006999999999999999,0.0,0.0
kevin spacey assault,2.0,0.006999999999999999,0.0,0.0
allegations harvey weinstein,2.0,0.006999999999999999,0.0,0.0
weinstein matt lauer,2.0,0.006,1.0,0.001
mogul harvey weinstein,2.0,0.006,0.0,0.0
matt lauer charlie,2.0,0.006,0.0,0.0
louis kevin spacey,2.0,0.006,0.0,0.0
los angeles district,2.0,0.006,0.0,0.0
harvey weinstein matt,2.0,0.006,0.0,0.0
angeles district attorney's,2.0,0.006,0.0,0.0
allegations kevin spacey,2.0,0.006,0.0,0.0
sexually harassed assaulted,1.0,0.005,1.0,0.001
harvey weinstein scandal,1.0,0.005,1.0,0.002
charlie kevin spacey,1.0,0.005,0.0,0.0
victims harassment assault,1.0,0.004,0.0,0.0
trek discovery anthony,1.0,0.004,0.0,0.0
spacey netflix cards,1.0,0.004,0.0,0.0
spacey matt lauer,1.0,0.004,0.0,0.0
sincerest apology inappropriate,1.0,0.004,0.0,0.0
scott kevin spacey,1.0,0.004,0.0,0.0
replacing kevin spacey,1.0,0.004,0.0,0.0
rapp spacey advances,1.0,0.004,0.0,0.0
rapp kevin spacey,1.0,0.004,0.0,0.0
plummer kevin spacey,1.0,0.004,0.0,0.0
misconduct weinstein allegations,1.0,0.004,1.0,0.003
leader kevin mccarthy,1.0,0.004,0.0,0.0
kevin spacey scandal,1.0,0.004,0.0,0.0
kevin spacey matt,1.0,0.004,0.0,0.0
kevin spacey james,1.0,0.004,0.0,0.0
kevin spacey groped,1.0,0.004,0.0,0.0
kevin spacey franken,1.0,0.004,0.0,0.0
charlie matt lauer,1.0,0.004,0.0,0.0
celebrities kevin spacey,1.0,0.004,0.0,0.0
apology inappropriate drunken,1.0,0.004,0.0,0.0
anthony rapp kevin,1.0,0.004,0.0,0.0
allegations producer harvey,1.0,0.004,1.0,0.002
activist tarana burke,1.0,0.004,0.0,0.0
weinstein sparked media,1.0,0.003,0.0,0.0
victims unwanted advances,1.0,0.003,0.0,0.0
unwanted advances spacey,1.0,0.003,0.0,0.0
toback kevin spacey,1.0,0.003,0.0,0.0
survivors los angeles,1.0,0.003,1.0,0.001
spacey robin wright,1.0,0.003,0.0,0.0
spacey responds harrassment,1.0,0.003,0.0,0.0
spacey misconduct accusations,1.0,0.003,0.0,0.0
spacey harassment assault,1.0,0.003,0.0,0.0
spacey dustin hoffman,1.0,0.003,0.0,0.0
spacey christopher plummer,1.0,0.003,0.0,0.0
spacey anthony rapp,1.0,0.003,0.0,0.0
southern accent kevin,1.0,0.003,0.0,0.0
ridley scott kevin,1.0,0.003,0.0,0.0
responds harrassment allegations,1.0,0.003,0.0,0.0
reshoot christopher plummer,1.0,0.003,0.0,0.0
rapp's allegations spacey,1.0,0.003,0.0,0.0
rapp seduce rapp,1.0,0.003,0.0,0.0
predators harvey weinstein,1.0,0.003,0.0,0.0
plummer reshoot spacey's,1.0,0.003,0.0,0.0
oscar-winning kevin spacey,1.0,0.003,0.0,0.0
o'reilly kevin spacey,1.0,0.003,0.0,0.0
netflix write-off spacey-related,1.0,0.003,0.0,0.0
misconduct harvey weinstein,1.0,0.003,0.0,0.0
misconduct accusations producer,1.0,0.003,0.0,0.0
los angeles reuters,1.0,0.003,0.0,0.0
los angeles prosecutors,1.0,0.003,0.0,0.0
london kevin spacey,1.0,0.003,0.0,0.0
lauer charlie kevin,1.0,0.003,0.0,0.0
kevin spacey sexually,1.0,0.003,0.0,0.0
kevin spacey roy,1.0,0.003,0.0,0.0
kevin spacey robin,1.0,0.003,0.0,0.0
kevin spacey responds,1.0,0.003,0.0,0.0
kevin spacey harassment,1.0,0.003,0.0,0.0
kevin spacey christopher,1.0,0.003,0.0,0.0
kevin spacey anthony,1.0,0.003,0.0,0.0
kevin mccarthy r-calif,1.0,0.003,0.0,0.0
inappropriate kevin spacey,1.0,0.003,0.0,0.0
harvey weinstein sparked,1.0,0.003,0.0,0.0
harvey weinstein o'reilly,1.0,0.003,0.0,0.0
harvey weinstein harassment,1.0,0.003,0.0,0.0
harassment assault media,1.0,0.003,0.0,0.0
harassment assault allegations,1.0,0.003,0.0,0.0
discovery anthony rapp,1.0,0.003,0.0,0.0
cosby kevin spacey,1.0,0.003,0.0,0.0
cosby harvey weinstein,1.0,0.003,0.0,0.0
christopher plummer reshoot,1.0,0.003,0.0,0.0
christopher plummer kevin,1.0,0.003,0.0,0.0
chef mario batali,1.0,0.003,0.0,0.0
buzzfeed kevin spacey,1.0,0.003,0.0,0.0
assault kevin spacey,1.0,0.003,0.0,0.0
anthony rapp seduce,1.0,0.003,0.0,0.0
anthony rapp buzzfeed,1.0,0.003,0.0,0.0
anchor matt lauer,1.0,0.003,0.0,0.0
allegations harassment assault,1.0,0.003,0.0,0.0
advances spacey misconduct,1.0,0.003,0.0,0.0
accusations producer harvey,1.0,0.003,0.0,0.0
accusations kevin spacey,1.0,0.003,0.0,0.0
