term,a1_bin,a1_perc,a2_bin,a2_perc
franken,4.0,0.36200000000000004,0.0,0.0
allegations,3.0,0.29,3.0,0.257
democrats,2.0,0.129,1.0,0.07200000000000001
trump,2.0,0.11699999999999999,1.0,0.065
senate,2.0,0.11599999999999999,2.0,0.19
moore,1.0,0.094,1.0,0.001
harassment,1.0,0.092,1.0,0.011000000000000001
resign,1.0,0.083,1.0,0.002
misconduct,1.0,0.07200000000000001,1.0,0.022000000000000002
alabama,1.0,0.069,0.0,0.0
republican,1.0,0.068,0.0,0.0
roy,1.0,0.048,1.0,0.001
tweeden,1.0,0.047,0.0,0.0
groping,1.0,0.043,0.0,0.0
accusations,1.0,0.043,0.0,0.0
minnesota,1.0,0.04,1.0,0.002
weinstein,1.0,0.031,0.0,0.0
apologized,1.0,0.031,1.0,0.004
campaign,1.0,0.03,1.0,0.009000000000000001
election,1.0,0.028999999999999998,0.0,0.0
d-minn,1.0,0.028999999999999998,0.0,0.0
conyers,1.0,0.027000000000000003,0.0,0.0
clinton,1.0,0.027000000000000003,1.0,0.003
assault,1.0,0.026000000000000002,3.0,0.21600000000000003
washington,1.0,0.025,1.0,0.045
kissing,1.0,0.025,0.0,0.0
inappropriate,1.0,0.024,1.0,0.002
congress,1.0,0.024,1.0,0.004
leeann,1.0,0.023,0.0,0.0
photo,1.0,0.022000000000000002,0.0,0.0
media,1.0,0.021,1.0,0.006999999999999999
lawmakers,1.0,0.019,1.0,0.011000000000000001
jones,1.0,0.019,0.0,0.0
john,1.0,0.019,1.0,0.003
tax,1.0,0.017,0.0,0.0
victims,1.0,0.016,1.0,0.013999999999999999
teenagers,1.0,0.016,1.0,0.03
judge,1.0,0.016,1.0,0.09300000000000001
investigating,1.0,0.016,0.0,0.0
sexually,1.0,0.015,1.0,0.061
harvey,1.0,0.015,0.0,0.0
gillibrand,1.0,0.015,1.0,0.003
calling,1.0,0.015,1.0,0.006
american,1.0,0.015,1.0,0.003
uso,1.0,0.013999999999999999,0.0,0.0
forcibly,1.0,0.013999999999999999,0.0,0.0
abuse,1.0,0.013999999999999999,1.0,0.006
tweet,1.0,0.013000000000000001,0.0,0.0
presidential,1.0,0.012,0.0,0.0
politico,1.0,0.012,1.0,0.003
obama,1.0,0.012,0.0,0.0
gop,1.0,0.012,1.0,0.015
cnn,1.0,0.012,1.0,0.01
touching,1.0,0.011000000000000001,0.0,0.0
supporters,1.0,0.011000000000000001,1.0,0.008
poll,1.0,0.011000000000000001,1.0,0.004
farenthold,1.0,0.011000000000000001,0.0,0.0
doug,1.0,0.011000000000000001,0.0,0.0
donald,1.0,0.011000000000000001,1.0,0.013999999999999999
conservative,1.0,0.011000000000000001,1.0,0.01
staffer,1.0,0.01,0.0,0.0
rape,1.0,0.01,1.0,0.018000000000000002
pelosi,1.0,0.01,1.0,0.001
los,1.0,0.01,0.0,0.0
leader,1.0,0.01,1.0,0.002
joe,1.0,0.01,0.0,0.0
