term,a1_bin,a1_perc,a2_bin,a2_perc
brett kavanaugh,6.0,0.151,1.0,0.002
judge kavanaugh,3.0,0.061,0.0,0.0
christine blasey,2.0,0.055,1.0,0.002
supreme nominee,2.0,0.054000000000000006,0.0,0.0
nominee brett,2.0,0.045,0.0,0.0
blasey ford,2.0,0.043,1.0,0.002
senate judiciary,2.0,0.033,0.0,0.0
kavanaugh's confirmation,2.0,0.033,0.0,0.0
kavanaugh's nomination,1.0,0.028999999999999998,0.0,0.0
ford kavanaugh,1.0,0.027000000000000003,0.0,0.0
kavanaugh allegations,1.0,0.022000000000000002,0.0,0.0
judge brett,1.0,0.021,0.0,0.0
brett kavanaugh's,1.0,0.02,0.0,0.0
kavanaugh supreme,1.0,0.019,0.0,0.0
sexually assaulted,1.0,0.017,1.0,0.006
kavanaugh confirmation,1.0,0.017,0.0,0.0
kavanaugh sexually,1.0,0.016,0.0,0.0
donald trump,1.0,0.016,1.0,0.024
kavanaugh assault,1.0,0.015,0.0,0.0
blasey ford's,1.0,0.015,0.0,0.0
allegations kavanaugh,1.0,0.015,0.0,0.0
judge kavanaugh's,1.0,0.013999999999999999,0.0,0.0
kavanaugh ford,1.0,0.013000000000000001,0.0,0.0
mitch mcconnell,1.0,0.012,1.0,0.005
kavanaugh senate,1.0,0.012,0.0,0.0
kavanaugh judge,1.0,0.011000000000000001,0.0,0.0
kavanaugh accuser,1.0,0.011000000000000001,0.0,0.0
trump kavanaugh,1.0,0.01,1.0,0.001
republicans kavanaugh,1.0,0.01,0.0,0.0
kavanaugh pinned,1.0,0.01,0.0,0.0
harassment assault,1.0,0.01,1.0,0.01
senate leader,1.0,0.009000000000000001,1.0,0.005
leader mitch,1.0,0.009000000000000001,1.0,0.003
assault allegations,1.0,0.009000000000000001,1.0,0.002
kavanaugh christine,1.0,0.008,0.0,0.0
harvey weinstein,1.0,0.008,1.0,0.022000000000000002
ford's allegation,1.0,0.008,0.0,0.0
deborah ramirez,1.0,0.008,0.0,0.0
anthony kennedy,1.0,0.008,0.0,0.0
susan collins,1.0,0.006999999999999999,0.0,0.0
sexually assaulting,1.0,0.006999999999999999,1.0,0.003
pinned groped,1.0,0.006999999999999999,0.0,0.0
nomination supreme,1.0,0.006999999999999999,0.0,0.0
kavanaugh nomination,1.0,0.006999999999999999,0.0,0.0
kavanaugh misconduct,1.0,0.006999999999999999,0.0,0.0
kavanaugh hearings,1.0,0.006999999999999999,0.0,0.0
confirmation hearings,1.0,0.006999999999999999,0.0,0.0
chuck grassley,1.0,0.006999999999999999,0.0,0.0
christine ford,1.0,0.006999999999999999,0.0,0.0
trump's supreme,1.0,0.006,1.0,0.001
supreme nomination,1.0,0.006,1.0,0.002
senate democrats,1.0,0.006,1.0,0.003
senate confirmation,1.0,0.006,0.0,0.0
lisa murkowski,1.0,0.006,0.0,0.0
kavanaugh ford's,1.0,0.006,0.0,0.0
kavanaugh fbi,1.0,0.006,0.0,0.0
jeff flake,1.0,0.006,0.0,0.0
ford's allegations,1.0,0.006,0.0,0.0
ford judge,1.0,0.006,0.0,0.0
drunken kavanaugh,1.0,0.006,0.0,0.0
dianne feinstein,1.0,0.006,0.0,0.0
confirmation supreme,1.0,0.006,0.0,0.0
allegations supreme,1.0,0.006,0.0,0.0
testify senate,1.0,0.005,0.0,0.0
supreme kavanaugh,1.0,0.005,0.0,0.0
republican senators,1.0,0.005,0.0,0.0
nomination brett,1.0,0.005,0.0,0.0
misconduct allegations,1.0,0.005,1.0,0.011000000000000001
kavanaugh's supporters,1.0,0.005,0.0,0.0
kavanaugh's accuser,1.0,0.005,0.0,0.0
kavanaugh trump,1.0,0.005,0.0,0.0
kavanaugh testify,1.0,0.005,0.0,0.0
kavanaugh republicans,1.0,0.005,0.0,0.0
kavanaugh rape,1.0,0.005,0.0,0.0
kavanaugh conservative,1.0,0.005,0.0,0.0
kavanaugh allegation,1.0,0.005,0.0,0.0
kavanaugh accusations,1.0,0.005,0.0,0.0
judiciary chuck,1.0,0.005,0.0,0.0
georgetown prep,1.0,0.005,0.0,0.0
ford's accusation,1.0,0.005,0.0,0.0
ford testify,1.0,0.005,0.0,0.0
ford brett,1.0,0.005,0.0,0.0
fbi ford's,1.0,0.005,0.0,0.0
confirming kavanaugh,1.0,0.005,0.0,0.0
allegations assault,1.0,0.005,0.0,0.0
allegation kavanaugh,1.0,0.005,0.0,0.0
alex kozinski,1.0,0.005,0.0,0.0
accuser christine,1.0,0.005,0.0,0.0
accuse kavanaugh,1.0,0.005,0.0,0.0
yale university,1.0,0.004,0.0,0.0
trump's nominee,1.0,0.004,0.0,0.0
senators kavanaugh,1.0,0.004,0.0,0.0
ronan farrow,1.0,0.004,0.0,0.0
republicans senate,1.0,0.004,1.0,0.002
republicans democrats,1.0,0.004,1.0,0.002
republican senate,1.0,0.004,1.0,0.025
rally mississippi,1.0,0.004,0.0,0.0
professor christine,1.0,0.004,0.0,0.0
palo alto,1.0,0.004,0.0,0.0
nominee supreme,1.0,0.004,0.0,0.0
midterm elections,1.0,0.004,1.0,0.002
kavanaugh's judicial,1.0,0.004,0.0,0.0
kavanaugh's denial,1.0,0.004,0.0,0.0
kavanaugh trump's,1.0,0.004,0.0,0.0
kavanaugh senators,1.0,0.004,0.0,0.0
judiciary kavanaugh,1.0,0.004,0.0,0.0
judiciary committee's,1.0,0.004,0.0,0.0
judge alex,1.0,0.004,0.0,0.0
grassley r-iowa,1.0,0.004,0.0,0.0
gop senators,1.0,0.004,0.0,0.0
ford's kavanaugh's,1.0,0.004,0.0,0.0
ford accuse,1.0,0.004,0.0,0.0
democrats congress,1.0,0.004,0.0,0.0
confirm kavanaugh,1.0,0.004,0.0,0.0
confirm judge,1.0,0.004,0.0,0.0
collins kavanaugh,1.0,0.004,0.0,0.0
backdrop harassment,1.0,0.004,0.0,0.0
assaulted teenagers,1.0,0.004,0.0,0.0
assaulted 1980s,1.0,0.004,0.0,0.0
alleged assault,1.0,0.004,0.0,0.0
accusation kavanaugh,1.0,0.004,0.0,0.0
washington reuters,1.0,0.003,0.0,0.0
university professor,1.0,0.003,0.0,0.0
trump mocked,1.0,0.003,0.0,0.0
trump kavanaugh's,1.0,0.003,0.0,0.0
testified senate,1.0,0.003,0.0,0.0
survivors assault,1.0,0.003,1.0,0.001
supreme senate,1.0,0.003,0.0,0.0
supreme feinstein,1.0,0.003,0.0,0.0
sheldon whitehouse,1.0,0.003,0.0,0.0
senate kavanaugh,1.0,0.003,0.0,0.0
roe wade,1.0,0.003,0.0,0.0
republican susan,1.0,0.003,0.0,0.0
professor palo,1.0,0.003,0.0,0.0
probe kavanaugh,1.0,0.003,0.0,0.0
opposing kavanaugh,1.0,0.003,0.0,0.0
one-piece bathing,1.0,0.003,0.0,0.0
nomination senate,1.0,0.003,0.0,0.0
nomination judge,1.0,0.003,0.0,0.0
nomination confirmation,1.0,0.003,0.0,0.0
misconduct kavanaugh,1.0,0.003,0.0,0.0
misconduct 1980s,1.0,0.003,0.0,0.0
michael avenatti,1.0,0.003,0.0,0.0
lifetime supreme,1.0,0.003,0.0,0.0
kavanaugh's supreme,1.0,0.003,0.0,0.0
kavanaugh's judge,1.0,0.003,0.0,0.0
kavanaugh's clerks,1.0,0.003,0.0,0.0
kavanaugh's alleged,1.0,0.003,0.0,0.0
kavanaugh vehemently,1.0,0.003,0.0,0.0
kavanaugh testifies,1.0,0.003,0.0,0.0
kavanaugh testified,1.0,0.003,0.0,0.0
kavanaugh supporters,1.0,0.003,0.0,0.0
kavanaugh smear,1.0,0.003,0.0,0.0
kavanaugh scream,1.0,0.003,0.0,0.0
kavanaugh republican,1.0,0.003,0.0,0.0
kavanaugh lessen,1.0,0.003,0.0,0.0
kavanaugh feinstein,1.0,0.003,0.0,0.0
kavanaugh donald,1.0,0.003,0.0,0.0
kavanaugh democrats,1.0,0.003,0.0,0.0
kavanaugh blasey,1.0,0.003,0.0,0.0
kavanaugh afforded,1.0,0.003,0.0,0.0
groped grinding,1.0,0.003,0.0,0.0
grinding clumsily,1.0,0.003,0.0,0.0
ford testified,1.0,0.003,0.0,0.0
ford supreme,1.0,0.003,0.0,0.0
ford professor,1.0,0.003,0.0,0.0
ford kavanaugh's,1.0,0.003,0.0,0.0
ford accusing,1.0,0.003,0.0,0.0
flake kavanaugh,1.0,0.003,0.0,0.0
fbi probe,1.0,0.003,0.0,0.0
fbi kavanaugh,1.0,0.003,0.0,0.0
donald trump's,1.0,0.003,1.0,0.004
district columbia,1.0,0.003,0.0,0.0
democrats judge,1.0,0.003,0.0,0.0
democrat kavanaugh's,1.0,0.003,0.0,0.0
confirmation thomas,1.0,0.003,0.0,0.0
confirmation kavanaugh,1.0,0.003,0.0,0.0
clumsily one-piece,1.0,0.003,0.0,0.0
capitol washington,1.0,0.003,0.0,0.0
assault victims,1.0,0.003,0.0,0.0
assault accusation,1.0,0.003,0.0,0.0
arguing kavanaugh,1.0,0.003,0.0,0.0
appeals judge,1.0,0.003,0.0,0.0
appeals district,1.0,0.003,0.0,0.0
anna eshoo,1.0,0.003,0.0,0.0
alto university,1.0,0.003,0.0,0.0
alleges kavanaugh,1.0,0.003,0.0,0.0
allegedly assaulted,1.0,0.003,0.0,0.0
alleged misconduct,1.0,0.003,0.0,0.0
allegations kavanaugh's,1.0,0.003,0.0,0.0
