term,a1_bin,a1_perc,a2_bin,a2_perc
christine blasey ford,10.0,0.07,0.0,0.0
supreme nominee brett,7.0,0.045,1.0,0.002
nominee brett kavanaugh,7.0,0.045,1.0,0.002
judge brett kavanaugh,4.0,0.024,0.0,0.0
brett kavanaugh supreme,3.0,0.019,0.0,0.0
professor christine blasey,2.0,0.012,0.0,0.0
kavanaugh sexually assaulted,2.0,0.011000000000000001,0.0,0.0
blasey ford kavanaugh,2.0,0.011000000000000001,0.0,0.0
brett kavanaugh sexually,2.0,0.01,0.0,0.0
kavanaugh christine blasey,2.0,0.008,0.0,0.0
brett kavanaugh christine,2.0,0.008,0.0,0.0
palo alto university,1.0,0.006999999999999999,0.0,0.0
leader mitch mcconnell,1.0,0.006999999999999999,0.0,0.0
christine blasey ford's,1.0,0.006999999999999999,0.0,0.0
brett kavanaugh's confirmation,1.0,0.006999999999999999,0.0,0.0
senate leader mitch,1.0,0.006,0.0,0.0
professor palo alto,1.0,0.006,0.0,0.0
confirmation brett kavanaugh,1.0,0.006,0.0,0.0
brett kavanaugh assault,1.0,0.006,0.0,0.0
blasey ford senate,1.0,0.006,0.0,0.0
accuser christine blasey,1.0,0.006,0.0,0.0
supreme nominee judge,1.0,0.005,0.0,0.0
nominee judge brett,1.0,0.005,0.0,0.0
kavanaugh's confirmation hearings,1.0,0.005,0.0,0.0
kavanaugh sexually assaulting,1.0,0.005,0.0,0.0
kavanaugh senate judiciary,1.0,0.005,0.0,0.0
allegations supreme nominee,1.0,0.005,0.0,0.0
trump's supreme nominee,1.0,0.004,0.0,0.0
susan collins maine,1.0,0.004,0.0,0.0
supreme brett kavanaugh,1.0,0.004,0.0,0.0
sexually assaulted teenagers,1.0,0.004,0.0,0.0
psychology professor palo,1.0,0.004,0.0,0.0
kavanaugh supreme nominee,1.0,0.004,0.0,0.0
kavanaugh assault allegations,1.0,0.004,0.0,0.0
ford supreme nominee,1.0,0.004,0.0,0.0
ford kavanaugh testify,1.0,0.004,0.0,0.0
deppisch joanie greve,1.0,0.004,0.0,0.0
confirm brett kavanaugh,1.0,0.004,0.0,0.0
brett kavanaugh's supreme,1.0,0.004,0.0,0.0
brett kavanaugh's nomination,1.0,0.004,0.0,0.0
brett kavanaugh senate,1.0,0.004,0.0,0.0
brett kavanaugh donald,1.0,0.004,0.0,0.0
breanne deppisch joanie,1.0,0.004,0.0,0.0
blasey ford testified,1.0,0.004,0.0,0.0
blasey ford california,1.0,0.004,0.0,0.0
washington supreme nominee,1.0,0.003,0.0,0.0
university professor christine,1.0,0.003,0.0,0.0
trump's nominee supreme,1.0,0.003,0.0,0.0
testify senate judiciary,1.0,0.003,0.0,0.0
testified senate judiciary,1.0,0.003,0.0,0.0
senate judiciary supreme,1.0,0.003,0.0,0.0
senate judiciary kavanaugh,1.0,0.003,0.0,0.0
senate brett kavanaugh,1.0,0.003,0.0,0.0
psychology professor christine,1.0,0.003,0.0,0.0
misconduct allegations supreme,1.0,0.003,0.0,0.0
lisa murkowski alaska,1.0,0.003,0.0,0.0
kavanaugh's supreme nomination,1.0,0.003,0.0,0.0
kavanaugh's nomination supreme,1.0,0.003,0.0,0.0
kavanaugh trump's nominee,1.0,0.003,0.0,0.0
kavanaugh donald trump,1.0,0.003,0.0,0.0
kavanaugh categorically unequivocally,1.0,0.003,0.0,0.0
kavanaugh allegations misconduct,1.0,0.003,0.0,0.0
kavanaugh accuser christine,1.0,0.003,0.0,0.0
judge alex kozinski,1.0,0.003,0.0,0.0
ford testified senate,1.0,0.003,0.0,0.0
ford senate judiciary,1.0,0.003,0.0,0.0
ford psychology professor,1.0,0.003,0.0,0.0
ford deborah ramirez,1.0,0.003,0.0,0.0
ford allegations kavanaugh,1.0,0.003,0.0,0.0
donald trump's supreme,1.0,0.003,0.0,0.0
donald trump nominated,1.0,0.003,0.0,0.0
district columbia circuit,1.0,0.003,0.0,0.0
dianne feinstein d-calif,1.0,0.003,0.0,0.0
categorically unequivocally allegation,1.0,0.003,0.0,0.0
california psychology professor,1.0,0.003,0.0,0.0
brett kavanaugh sworn,1.0,0.003,0.0,0.0
brett kavanaugh confirmation,1.0,0.003,0.0,0.0
brett kavanaugh accuser,1.0,0.003,0.0,0.0
blasey ford testify,1.0,0.003,0.0,0.0
blasey ford supreme,1.0,0.003,0.0,0.0
blasey ford deborah,1.0,0.003,0.0,0.0
blasey ford allegations,1.0,0.003,0.0,0.0
backdrop harassment assault,1.0,0.003,0.0,0.0
appeals district columbia,1.0,0.003,0.0,0.0
allegations christine blasey,1.0,0.003,0.0,0.0
allegations assault supreme,1.0,0.003,0.0,0.0
washington reuters donald,1.0,0.002,0.0,0.0
tweeted christine blasey,1.0,0.002,0.0,0.0
trump supreme nominee,1.0,0.002,0.0,0.0
trump nominated kavanaugh,1.0,0.002,0.0,0.0
trump nominated judge,1.0,0.002,0.0,0.0
trump kavanaugh's lengthy,1.0,0.002,0.0,0.0
testifies senate judiciary,1.0,0.002,0.0,0.0
swetnick kavanaugh misconduct,1.0,0.002,0.0,0.0
supreme nominee assault,1.0,0.002,0.0,0.0
supreme nominee allegations,1.0,0.002,0.0,0.0
supreme judge brett,1.0,0.002,0.0,0.0
supreme brett kavanaugh's,1.0,0.002,0.0,0.0
supreme anthony kennedy,1.0,0.002,0.0,0.0
sexually assaulting students,1.0,0.002,0.0,0.0
sexually assaulted students,1.0,0.002,0.0,0.0
seung min kim,1.0,0.002,0.0,0.0
senators judge kavanaugh,1.0,0.002,0.0,0.0
senators brett kavanaugh,1.0,0.002,0.0,0.0
senate judiciary confirmation,1.0,0.002,0.0,0.0
senate judiciary committee's,1.0,0.002,0.0,0.0
senate judiciary chuck,1.0,0.002,0.0,0.0
senate democrats kavanaugh,1.0,0.002,0.0,0.0
senate confirm kavanaugh,1.0,0.002,0.0,0.0
reuters donald trump,1.0,0.002,0.0,0.0
retiring supreme anthony,1.0,0.002,0.0,0.0
republican susan collins,1.0,0.002,0.0,0.0
republican jeff flake,1.0,0.002,0.0,0.0
reluctance demonstrates incredibly,1.0,0.002,0.0,0.0
ramirez julie swetnick,1.0,0.002,0.0,0.0
overturn roe wade,1.0,0.002,0.0,0.0
nominee brett kavanaugh's,1.0,0.002,0.0,0.0
nominee assault testify,1.0,0.002,0.0,0.0
nomination judge kavanaugh,1.0,0.002,0.0,0.0
nomination brett kavanaugh,1.0,0.002,0.0,0.0
nominated judge brett,1.0,0.002,0.0,0.0
nominated brett kavanaugh,1.0,0.002,0.0,0.0
mitch mcconnell r-ky,1.0,0.002,0.0,0.0
misconduct supreme nominee,1.0,0.002,0.0,0.0
lindsey graham r-s,1.0,0.002,0.0,0.0
kirsten gillibrand unnecessary,1.0,0.002,0.0,0.0
kavanaugh's confirmation supreme,1.0,0.002,0.0,0.0
kavanaugh's accuser christine,1.0,0.002,0.0,0.0
kavanaugh testifies senate,1.0,0.002,0.0,0.0
kavanaugh supreme senate,1.0,0.002,0.0,0.0
kavanaugh supreme confirmation,1.0,0.002,0.0,0.0
kavanaugh senate leader,1.0,0.002,0.0,0.0
kavanaugh rape maryland,1.0,0.002,0.0,0.0
kavanaugh judge appeals,1.0,0.002,0.0,0.0
kavanaugh ford testify,1.0,0.002,0.0,0.0
kavanaugh donald trump's,1.0,0.002,0.0,0.0
kavanaugh denies ford's,1.0,0.002,0.0,0.0
kavanaugh confirmation proceedings,1.0,0.002,0.0,0.0
kavanaugh clerked kozinski,1.0,0.002,0.0,0.0
kavanaugh categorically allegations,1.0,0.002,0.0,0.0
kavanaugh assault testify,1.0,0.002,0.0,0.0
judiciary supreme nominee,1.0,0.002,0.0,0.0
judiciary supreme confirmation,1.0,0.002,0.0,0.0
judiciary chuck grassley,1.0,0.002,0.0,0.0
judge kavanaugh supreme,1.0,0.002,0.0,0.0
judge brett kavanaugh's,1.0,0.002,0.0,0.0
jeff flake republican,1.0,0.002,0.0,0.0
