term,a1_bin,a1_perc,a2_bin,a2_perc
aggravated indecent assault,2.0,0.027999999999999997,0.0,0.0
counts aggravated indecent,2.0,0.023,0.0,0.0
judge steven o'neill,2.0,0.017,0.0,0.0
drugging sexually assaulting,1.0,0.015,0.0,0.0
sexually violent predator,1.0,0.013999999999999999,0.0,0.0
montgomery courthouse norristown,1.0,0.013999999999999999,0.0,0.0
cosby counts aggravated,1.0,0.013000000000000001,0.0,0.0
courthouse norristown pennsylvania,1.0,0.011000000000000001,0.0,0.0
accuser andrea constand,1.0,0.009000000000000001,0.0,0.0
drugged sexually assaulted,1.0,0.008,0.0,0.0
district kevin steele,1.0,0.008,0.0,0.0
cosby sentenced assault,1.0,0.008,0.0,0.0
constand temple university,1.0,0.008,0.0,0.0
assault montgomery courthouse,1.0,0.008,0.0,0.0
spokesman andrew wyatt,1.0,0.006999999999999999,0.0,0.0
cosby's assault retrial,1.0,0.006999999999999999,0.0,0.0
cosby sexually violent,1.0,0.006999999999999999,0.0,0.0
cosby drugging sexually,1.0,0.006999999999999999,0.0,0.0
janice dickinson cosby,1.0,0.006,0.0,0.0
cosby drugged raped,1.0,0.006,0.0,0.0
cosby convicted drugging,1.0,0.006,0.0,0.0
assault andrea constand,1.0,0.006,0.0,0.0
andrea constand cosby,1.0,0.006,0.0,0.0
women's basketball temple,1.0,0.005,0.0,0.0
university women's basketball,1.0,0.005,0.0,0.0
temple university women's,1.0,0.005,0.0,0.0
disgraced comedian cosby,1.0,0.005,0.0,0.0
courthouse norristown pa,1.0,0.005,0.0,0.0
cosby roman polanski,1.0,0.005,0.0,0.0
cosby drugged sexually,1.0,0.005,0.0,0.0
cosby drugged assaulted,1.0,0.005,0.0,0.0
comedian cosby arrives,1.0,0.005,0.0,0.0
andrea constand temple,1.0,0.005,0.0,0.0
temple university cosby,1.0,0.004,0.0,0.0
supermodel janice dickinson,1.0,0.004,0.0,0.0
sexually assaulted cosby,1.0,0.004,0.0,0.0
sentenced sexually assaulting,1.0,0.004,0.0,0.0
photo comedian cosby,1.0,0.004,0.0,0.0
montgomery judge steven,1.0,0.004,0.0,0.0
janice dickinson supermodel,1.0,0.004,0.0,0.0
felony counts aggravated,1.0,0.004,0.0,0.0
cosby spokesman andrew,1.0,0.004,0.0,0.0
cosby pill antihistamine,1.0,0.004,0.0,0.0
