term,a1_bin,a1_perc,a2_bin,a2_perc
brett kavanaugh,10.0,0.2,8.0,0.151
supreme nominee,5.0,0.081,3.0,0.054000000000000006
nominee brett,3.0,0.06,3.0,0.045
judge kavanaugh,3.0,0.055,4.0,0.061
christine blasey,3.0,0.055,3.0,0.055
blasey ford,3.0,0.049,3.0,0.043
senate judiciary,3.0,0.044000000000000004,2.0,0.033
kavanaugh's nomination,3.0,0.044000000000000004,2.0,0.028999999999999998
judge brett,3.0,0.042,2.0,0.021
kavanaugh supreme,2.0,0.035,1.0,0.019
kavanaugh's confirmation,2.0,0.024,2.0,0.033
kavanaugh allegations,2.0,0.023,2.0,0.022000000000000002
ford kavanaugh,2.0,0.021,2.0,0.027000000000000003
brett kavanaugh's,2.0,0.021,1.0,0.02
donald trump,1.0,0.02,1.0,0.016
kavanaugh confirmation,1.0,0.019,1.0,0.017
sexually assaulted,1.0,0.017,1.0,0.017
anthony kennedy,1.0,0.016,1.0,0.008
kavanaugh judge,1.0,0.015,1.0,0.011000000000000001
trump kavanaugh,1.0,0.013999999999999999,1.0,0.01
deborah ramirez,1.0,0.013999999999999999,1.0,0.008
confirmation hearings,1.0,0.013999999999999999,1.0,0.006999999999999999
roe wade,1.0,0.013000000000000001,1.0,0.003
kavanaugh senate,1.0,0.012,1.0,0.012
judge kavanaugh's,1.0,0.012,1.0,0.013999999999999999
confirm kavanaugh,1.0,0.012,1.0,0.004
allegations kavanaugh,1.0,0.012,1.0,0.015
kavanaugh sexually,1.0,0.011000000000000001,1.0,0.016
kavanaugh accuser,1.0,0.011000000000000001,1.0,0.011000000000000001
jeff flake,1.0,0.011000000000000001,1.0,0.006
donald trump's,1.0,0.011000000000000001,1.0,0.003
trump's supreme,1.0,0.01,1.0,0.006
kavanaugh's supreme,1.0,0.01,1.0,0.003
kavanaugh assault,1.0,0.01,1.0,0.015
julie swetnick,1.0,0.01,1.0,0.002
supreme nomination,1.0,0.009000000000000001,1.0,0.006
kavanaugh hearings,1.0,0.009000000000000001,1.0,0.006999999999999999
kavanaugh ford,1.0,0.009000000000000001,1.0,0.013000000000000001
kavanaugh assaulted,1.0,0.009000000000000001,0.0,0.0
blasey ford's,1.0,0.009000000000000001,1.0,0.015
trump nominated,1.0,0.008,1.0,0.002
susan collins,1.0,0.008,1.0,0.006999999999999999
republican senators,1.0,0.008,1.0,0.005
misconduct allegations,1.0,0.008,1.0,0.005
kavanaugh trump,1.0,0.008,1.0,0.005
george bush,1.0,0.008,1.0,0.002
democrats kavanaugh,1.0,0.008,0.0,0.0
supreme confirmation,1.0,0.006999999999999999,1.0,0.002
sexually assaulting,1.0,0.006999999999999999,1.0,0.006999999999999999
senate democrats,1.0,0.006999999999999999,1.0,0.006
kavanaugh testify,1.0,0.006999999999999999,1.0,0.005
kavanaugh nomination,1.0,0.006999999999999999,1.0,0.006999999999999999
kavanaugh christine,1.0,0.006999999999999999,1.0,0.008
california professor,1.0,0.006999999999999999,1.0,0.002
assault allegations,1.0,0.006999999999999999,1.0,0.009000000000000001
appeals judge,1.0,0.006999999999999999,1.0,0.003
alleged assault,1.0,0.006999999999999999,1.0,0.004
allegations assault,1.0,0.006999999999999999,1.0,0.005
senate confirmation,1.0,0.006,1.0,0.006
mitch mcconnell,1.0,0.006,1.0,0.012
mazie hirono,1.0,0.006,1.0,0.002
lisa murkowski,1.0,0.006,1.0,0.006
kavanaugh's judge,1.0,0.006,1.0,0.003
kavanaugh's accuser,1.0,0.006,1.0,0.005
kavanaugh republicans,1.0,0.006,1.0,0.005
classmate kavanaugh's,1.0,0.006,1.0,0.002
accuser christine,1.0,0.006,1.0,0.005
yale university,1.0,0.005,1.0,0.004
trump fbi,1.0,0.005,0.0,0.0
senate kavanaugh's,1.0,0.005,1.0,0.002
ramirez kavanaugh,1.0,0.005,0.0,0.0
overturn roe,1.0,0.005,0.0,0.0
nominee supreme,1.0,0.005,1.0,0.004
nomination supreme,1.0,0.005,1.0,0.006999999999999999
nomination kavanaugh,1.0,0.005,0.0,0.0
michael avenatti,1.0,0.005,1.0,0.003
lindsey graham,1.0,0.005,0.0,0.0
leader mitch,1.0,0.005,1.0,0.009000000000000001
kavanaugh misconduct,1.0,0.005,1.0,0.006999999999999999
kavanaugh accusations,1.0,0.005,1.0,0.005
judiciary kavanaugh's,1.0,0.005,1.0,0.002
georgetown prep,1.0,0.005,1.0,0.005
ford california,1.0,0.005,0.0,0.0
fbi kavanaugh,1.0,0.005,1.0,0.003
drunken kavanaugh,1.0,0.005,1.0,0.006
dianne feinstein,1.0,0.005,1.0,0.006
democrats kavanaugh's,1.0,0.005,1.0,0.002
