term,a1_bin,a1_perc,a2_bin,a2_perc
cosby,10.0,1.0590000000000002,0.0,0.0
assault,3.0,0.235,2.0,0.17
constand,2.0,0.17,0.0,0.0
accusers,2.0,0.115,0.0,0.0
allegations,1.0,0.083,2.0,0.168
retrial,1.0,0.067,0.0,0.0
drugged,1.0,0.067,0.0,0.0
comedian,1.0,0.067,0.0,0.0
jury,1.0,0.06,0.0,0.0
judge,1.0,0.06,1.0,0.055
testified,1.0,0.057,0.0,0.0
sexually,1.0,0.051,1.0,0.05
prosecutors,1.0,0.049,0.0,0.0
sentencing,1.0,0.047,0.0,0.0
pennsylvania,1.0,0.047,1.0,0.003
andrea,1.0,0.046,0.0,0.0
montgomery,1.0,0.040999999999999995,1.0,0.003
convicted,1.0,0.040999999999999995,0.0,0.0
philadelphia,1.0,0.038,0.0,0.0
verdict,1.0,0.036000000000000004,0.0,0.0
temple,1.0,0.036000000000000004,0.0,0.0
norristown,1.0,0.036000000000000004,0.0,0.0
courthouse,1.0,0.036000000000000004,0.0,0.0
university,1.0,0.035,1.0,0.018000000000000002
jurors,1.0,0.034,0.0,0.0
counts,1.0,0.034,0.0,0.0
molested,1.0,0.032,0.0,0.0
rape,1.0,0.031,1.0,0.018000000000000002
predator,1.0,0.031,0.0,0.0
pills,1.0,0.031,0.0,0.0
criminal,1.0,0.031,1.0,0.002
misconduct,1.0,0.027999999999999997,1.0,0.023
dickinson,1.0,0.027000000000000003,0.0,0.0
weinstein,1.0,0.026000000000000002,1.0,0.006
pa,1.0,0.026000000000000002,0.0,0.0
courtroom,1.0,0.026000000000000002,1.0,0.002
trump,1.0,0.025,1.0,0.08900000000000001
indecent,1.0,0.024,0.0,0.0
celebrity,1.0,0.024,0.0,0.0
prosecution,1.0,0.023,0.0,0.0
o'neill,1.0,0.023,0.0,0.0
victim,1.0,0.022000000000000002,0.0,0.0
aggravated,1.0,0.022000000000000002,0.0,0.0
camille,1.0,0.021,0.0,0.0
abuse,1.0,0.021,1.0,0.023
janice,1.0,0.02,0.0,0.0
basketball,1.0,0.02,0.0,0.0
america's,1.0,0.02,0.0,0.0
women's,1.0,0.019,1.0,0.008
tv,1.0,0.019,1.0,0.001
o'reilly,1.0,0.018000000000000002,1.0,0.001
violent,1.0,0.017,1.0,0.002
lawsuit,1.0,0.017,0.0,0.0
harvey,1.0,0.017,1.0,0.004
arrives,1.0,0.017,0.0,0.0
wyatt,1.0,0.015,0.0,0.0
steele,1.0,0.015,0.0,0.0
media,1.0,0.015,1.0,0.019
district,1.0,0.015,0.0,0.0
mesereau,1.0,0.013999999999999999,0.0,0.0
dozens,1.0,0.013999999999999999,1.0,0.002
deposition,1.0,0.013999999999999999,0.0,0.0
crimes,1.0,0.013999999999999999,0.0,0.0
victory,1.0,0.013000000000000001,1.0,0.003
mistrial,1.0,0.013000000000000001,0.0,0.0
harassment,1.0,0.013000000000000001,1.0,0.024
clinton,1.0,0.013000000000000001,0.0,0.0
attorneys,1.0,0.013000000000000001,1.0,0.006999999999999999
kevin,1.0,0.012,0.0,0.0
false,1.0,0.012,1.0,0.008
consensual,1.0,0.012,0.0,0.0
bail,1.0,0.012,0.0,0.0
american,1.0,0.012,0.0,0.0
photo,1.0,0.011000000000000001,1.0,0.002
lasha,1.0,0.011000000000000001,0.0,0.0
andrew,1.0,0.011000000000000001,0.0,0.0
steven,1.0,0.01,0.0,0.0
quaaludes,1.0,0.01,0.0,0.0
donald,1.0,0.01,1.0,0.018000000000000002
declined,1.0,0.01,1.0,0.009000000000000001
calling,1.0,0.01,1.0,0.006
academy,1.0,0.01,0.0,0.0
thomas,1.0,0.009000000000000001,1.0,0.01
survivors,1.0,0.009000000000000001,1.0,0.017
protesters,1.0,0.009000000000000001,1.0,0.005
liar,1.0,0.009000000000000001,0.0,0.0
jackson,1.0,0.009000000000000001,0.0,0.0
huxtable,1.0,0.009000000000000001,0.0,0.0
hotel,1.0,0.009000000000000001,1.0,0.003
honorary,1.0,0.009000000000000001,0.0,0.0
disgraced,1.0,0.009000000000000001,0.0,0.0
allred,1.0,0.009000000000000001,0.0,0.0
tom,1.0,0.008,0.0,0.0
tahoe,1.0,0.008,0.0,0.0
sue,1.0,0.008,0.0,0.0
star's,1.0,0.008,0.0,0.0
spokesman,1.0,0.008,0.0,0.0
revoke,1.0,0.008,0.0,0.0
publicist,1.0,0.008,0.0,0.0
polanski,1.0,0.008,0.0,0.0
offender,1.0,0.008,1.0,0.003
credibility,1.0,0.008,0.0,0.0
bonet,1.0,0.008,0.0,0.0
bliss,1.0,0.008,0.0,0.0
actress,1.0,0.008,1.0,0.003
1980s,1.0,0.008,1.0,0.018000000000000002
trustee,1.0,0.006999999999999999,0.0,0.0
serial,1.0,0.006999999999999999,0.0,0.0
matt,1.0,0.006999999999999999,1.0,0.002
kavanaugh,1.0,0.006999999999999999,4.0,0.38
fox,1.0,0.006999999999999999,1.0,0.008
deliberations,1.0,0.006999999999999999,0.0,0.0
deadlocked,1.0,0.006999999999999999,0.0,0.0
cliff,1.0,0.006999999999999999,0.0,0.0
bias,1.0,0.006999999999999999,0.0,0.0
baker-kinney,1.0,0.006999999999999999,0.0,0.0
apologized,1.0,0.006999999999999999,0.0,0.0
administrator,1.0,0.006999999999999999,0.0,0.0
rochelle,1.0,0.006,0.0,0.0
reuters,1.0,0.006,1.0,0.001
reno,1.0,0.006,0.0,0.0
psychologist,1.0,0.006,1.0,0.006999999999999999
pretrial,1.0,0.006,0.0,0.0
nicolle,1.0,0.006,0.0,0.0
nbc,1.0,0.006,1.0,0.005
mob,1.0,0.006,0.0,0.0
lauer,1.0,0.006,0.0,0.0
kelly,1.0,0.006,0.0,0.0
felony,1.0,0.006,0.0,0.0
fame,1.0,0.006,0.0,0.0
entertainer,1.0,0.006,0.0,0.0
ensa,1.0,0.006,0.0,0.0
emotional,1.0,0.006,1.0,0.011000000000000001
downfall,1.0,0.006,0.0,0.0
defendant,1.0,0.006,0.0,0.0
campaign,1.0,0.006,1.0,0.006
california,1.0,0.006,1.0,0.03
brett,1.0,0.006,1.0,0.055999999999999994
bernard,1.0,0.006,0.0,0.0
awards,1.0,0.006,0.0,0.0
african,1.0,0.006,0.0,0.0
tweet,1.0,0.005,0.0,0.0
topless,1.0,0.005,0.0,0.0
sued,1.0,0.005,0.0,0.0
slammed,1.0,0.005,0.0,0.0
scandal,1.0,0.005,0.0,0.0
retried,1.0,0.005,0.0,0.0
relax,1.0,0.005,0.0,0.0
react,1.0,0.005,0.0,0.0
portray,1.0,0.005,0.0,0.0
phoenix,1.0,0.005,0.0,0.0
michael,1.0,0.005,1.0,0.004
matthews,1.0,0.005,0.0,0.0
mansion,1.0,0.005,0.0,0.0
lynching,1.0,0.005,0.0,0.0
lublin,1.0,0.005,0.0,0.0
kennedy,1.0,0.005,0.0,0.0
jokes,1.0,0.005,0.0,0.0
james,1.0,0.005,0.0,0.0
icon,1.0,0.005,0.0,0.0
high-profile,1.0,0.005,1.0,0.004
heidi,1.0,0.005,1.0,0.003
getty,1.0,0.005,1.0,0.004
feden,1.0,0.005,0.0,0.0
encounters,1.0,0.005,0.0,0.0
economically,1.0,0.005,0.0,0.0
designate,1.0,0.005,0.0,0.0
corrections,1.0,0.005,0.0,0.0
consent,1.0,0.005,1.0,0.003
buress,1.0,0.005,0.0,0.0
advances,1.0,0.005,0.0,0.0
3.4,1.0,0.005,0.0,0.0
wrongdoing,1.0,0.004,0.0,0.0
writer,1.0,0.004,0.0,0.0
wraps,1.0,0.004,1.0,0.001
williams,1.0,0.004,0.0,0.0
washington,1.0,0.004,1.0,0.03
vegas,1.0,0.004,1.0,0.003
valentino,1.0,0.004,0.0,0.0
upcoming,1.0,0.004,1.0,0.001
twitter,1.0,0.004,1.0,0.006999999999999999
tips,1.0,0.004,0.0,0.0
supermodel,1.0,0.004,0.0,0.0
