term,a1_bin,a1_perc,a2_bin,a2_perc
roy moore,2.0,0.027999999999999997,1.0,0.001
weinstein allegations,1.0,0.023,0.0,0.0
franken d-minn,1.0,0.02,0.0,0.0
misconduct allegations,1.0,0.015,1.0,0.005
misconduct weinstein,1.0,0.013000000000000001,0.0,0.0
allegations misconduct,1.0,0.013000000000000001,1.0,0.003
harassment assault,1.0,0.011000000000000001,1.0,0.011000000000000001
donald trump,1.0,0.011000000000000001,0.0,0.0
kevin spacey,1.0,0.01,0.0,0.0
harvey weinstein,1.0,0.01,1.0,0.017
matt lauer,1.0,0.009000000000000001,0.0,0.0
kirsten gillibrand,1.0,0.009000000000000001,0.0,0.0
harassment allegations,1.0,0.009000000000000001,0.0,0.0
franken resign,1.0,0.009000000000000001,0.0,0.0
allegations harassment,1.0,0.009000000000000001,0.0,0.0
leeann tweeden,1.0,0.008,0.0,0.0
doug jones,1.0,0.008,0.0,0.0
assault allegations,1.0,0.008,0.0,0.0
senate democrats,1.0,0.006999999999999999,0.0,0.0
john conyers,1.0,0.006999999999999999,0.0,0.0
alabama senate,1.0,0.006999999999999999,0.0,0.0
woody allen,1.0,0.006,0.0,0.0
sexually harassed,1.0,0.006,1.0,0.001
senate roy,1.0,0.006,0.0,0.0
republican roy,1.0,0.006,0.0,0.0
franken's resignation,1.0,0.006,0.0,0.0
brett kavanaugh,1.0,0.006,0.0,0.0
accusations misconduct,1.0,0.006,0.0,0.0
rehearse kiss,1.0,0.005,0.0,0.0
photo franken,1.0,0.005,0.0,0.0
harassment weinstein,1.0,0.005,0.0,0.0
franken groped,1.0,0.005,0.0,0.0
democratic senators,1.0,0.005,0.0,0.0
democrat doug,1.0,0.005,0.0,0.0
alleged misconduct,1.0,0.005,1.0,0.002
alleged incidents,1.0,0.005,0.0,0.0
allegations surfaced,1.0,0.005,0.0,0.0
allegations cosby,1.0,0.005,0.0,0.0
allegations assault,1.0,0.005,0.0,0.0
supreme nominee,1.0,0.004,0.0,0.0
sharyn alfonsi,1.0,0.004,0.0,0.0
nominee brett,1.0,0.004,0.0,0.0
moore alabama,1.0,0.004,0.0,0.0
mitch mcconnell,1.0,0.004,0.0,0.0
minnesota franken,1.0,0.004,0.0,0.0
lindsay menz,1.0,0.004,0.0,0.0
franken resignation,1.0,0.004,0.0,0.0
franken minnesota,1.0,0.004,0.0,0.0
democratic franken,1.0,0.004,0.0,0.0
cosby drugged,1.0,0.004,0.0,0.0
clinton franken,1.0,0.004,0.0,0.0
christine blasey,1.0,0.004,0.0,0.0
trump tweeted,1.0,0.003,0.0,0.0
trump resign,1.0,0.003,0.0,0.0
trump allegations,1.0,0.003,0.0,0.0
trent franks,1.0,0.003,0.0,0.0
tarana burke,1.0,0.003,1.0,0.006999999999999999
steve bannon,1.0,0.003,0.0,0.0
spacey louis,1.0,0.003,0.0,0.0
shattered allegation,1.0,0.003,0.0,0.0
sexually assaulting,1.0,0.003,0.0,0.0
sexually assaulted,1.0,0.003,1.0,0.001
senate franken,1.0,0.003,0.0,0.0
senate election,1.0,0.003,0.0,0.0
senate alabama,1.0,0.003,0.0,0.0
roy moore's,1.0,0.003,0.0,0.0
ronan farrow,1.0,0.003,1.0,0.001
resignation democrats,1.0,0.003,0.0,0.0
resign harassment,1.0,0.003,0.0,0.0
republican senate,1.0,0.003,0.0,0.0
presidential campaign,1.0,0.003,0.0,0.0
o'reilly god,1.0,0.003,0.0,0.0
nancy pelosi,1.0,0.003,0.0,0.0
moore republican,1.0,0.003,0.0,0.0
minnesota democrat,1.0,0.003,0.0,0.0
menz cnn,1.0,0.003,0.0,0.0
los angeles,1.0,0.003,1.0,0.006
linda vester,1.0,0.003,0.0,0.0
leader nancy,1.0,0.003,0.0,0.0
lauer kevin,1.0,0.003,0.0,0.0
kavanaugh allegations,1.0,0.003,0.0,0.0
franken resigned,1.0,0.003,0.0,0.0
franken harassment,1.0,0.003,0.0,0.0
franken allegations,1.0,0.003,0.0,0.0
false allegations,1.0,0.003,0.0,0.0
eric schneiderman,1.0,0.003,0.0,0.0
denies allegations,1.0,0.003,0.0,0.0
democrats franken,1.0,0.003,0.0,0.0
d-minn resign,1.0,0.003,0.0,0.0
cnn franken,1.0,0.003,0.0,0.0
charlie kevin,1.0,0.003,0.0,0.0
blasey ford,1.0,0.003,0.0,0.0
anchor leeann,1.0,0.003,0.0,0.0
amazon studios,1.0,0.003,0.0,0.0
allegations trump,1.0,0.003,0.0,0.0
allegations inappropriate,1.0,0.003,0.0,0.0
alex horton,1.0,0.003,0.0,0.0
alabama election,1.0,0.003,0.0,0.0
workplace harassment,1.0,0.002,1.0,0.003
women's basketball,1.0,0.002,0.0,0.0
victims misconduct,1.0,0.002,0.0,0.0
victims assault,1.0,0.002,1.0,0.001
vester inappropriate,1.0,0.002,0.0,0.0
uso franken,1.0,0.002,0.0,0.0
unwanted touching,1.0,0.002,0.0,0.0
unwanted advances,1.0,0.002,0.0,0.0
unrelated office's,1.0,0.002,0.0,0.0
