term,a1_bin,a1_perc,a2_bin,a2_perc
senate roy moore,2.0,0.011000000000000001,10.0,0.057999999999999996
roy moore alabama,2.0,0.01,5.0,0.026000000000000002
republican senate roy,2.0,0.006,2.0,0.008
leader mitch mcconnell,2.0,0.006,0.0,0.0
senate leader mitch,1.0,0.005,1.0,0.001
forcibly kissing groping,1.0,0.005,0.0,0.0
democratic john conyers,1.0,0.005,0.0,0.0
roy moore senate,1.0,0.004,2.0,0.009000000000000001
roy moore donald,1.0,0.004,2.0,0.008
moore donald trump,1.0,0.004,2.0,0.006999999999999999
leader chuck schumer,1.0,0.004,0.0,0.0
john conyers d-mich,1.0,0.004,0.0,0.0
franken resign senate,1.0,0.004,0.0,0.0
trump roy moore,1.0,0.003,2.0,0.008
sits oval repeatedly,1.0,0.003,1.0,0.002
senate leader chuck,1.0,0.003,0.0,0.0
senate democrats franken,1.0,0.003,1.0,0.002
sarah huckabee sanders,1.0,0.003,0.0,0.0
resign misconduct allegations,1.0,0.003,0.0,0.0
republican trent franks,1.0,0.003,0.0,0.0
republican roy moore,1.0,0.003,5.0,0.026000000000000002
republican alabama senate,1.0,0.003,0.0,0.0
repeatedly preyed campaigns,1.0,0.003,1.0,0.002
preyed campaigns senate,1.0,0.003,1.0,0.002
oval repeatedly preyed,1.0,0.003,1.0,0.002
moore senate alabama,1.0,0.003,1.0,0.005
mogul harvey weinstein,1.0,0.003,0.0,0.0
leeann tweeden franken,1.0,0.003,0.0,0.0
kissing groping uso,1.0,0.003,0.0,0.0
irony bragged assault,1.0,0.003,1.0,0.003
harvey weinstein franken,1.0,0.003,0.0,0.0
gillibrand democratic senators,1.0,0.003,0.0,0.0
franken resign misconduct,1.0,0.003,0.0,0.0
franken leeann tweeden,1.0,0.003,0.0,0.0
franken john conyers,1.0,0.003,1.0,0.002
franken forcibly kiss,1.0,0.003,0.0,0.0
franken d-minn john,1.0,0.003,0.0,0.0
donald trump franken,1.0,0.003,0.0,0.0
democratic franken minnesota,1.0,0.003,0.0,0.0
democrat doug jones,1.0,0.003,5.0,0.026000000000000002
d-minn john conyers,1.0,0.003,0.0,0.0
credible allegations misconduct,1.0,0.003,0.0,0.0
calling franken resign,1.0,0.003,0.0,0.0
bragged assault sits,1.0,0.003,1.0,0.003
assault sits oval,1.0,0.003,1.0,0.003
allegations sexually harassed,1.0,0.003,0.0,0.0
alabama senate roy,1.0,0.003,5.0,0.028999999999999998
alabama republican senate,1.0,0.003,1.0,0.005
upscale alabama suburbs,1.0,0.002,0.0,0.0
tuesday's senate election,1.0,0.002,1.0,0.001
trent franks r-ariz,1.0,0.002,0.0,0.0
tina smith d-minn,1.0,0.002,0.0,0.0
supposedly franken martyr,1.0,0.002,0.0,0.0
suburbs roy moore,1.0,0.002,0.0,0.0
sins par yanking,1.0,0.002,0.0,0.0
sexually harassed assaulted,1.0,0.002,1.0,0.001
senate election alabama,1.0,0.002,1.0,0.001
ruben kihuen d-nev,1.0,0.002,0.0,0.0
roy moore franken,1.0,0.002,2.0,0.006
roy moore conundrum,1.0,0.002,0.0,0.0
resignation democratic franken,1.0,0.002,0.0,0.0
republicans upscale alabama,1.0,0.002,0.0,0.0
republicans donald trump,1.0,0.002,0.0,0.0
prohibit nondisclosure agreements,1.0,0.002,0.0,0.0
praises accountability franken,1.0,0.002,0.0,0.0
politico franken forcibly,1.0,0.002,0.0,0.0
photo franken groping,1.0,0.002,0.0,0.0
photo alex brandon,1.0,0.002,0.0,0.0
paul ryan sticking,1.0,0.002,0.0,0.0
par yanking ponytails,1.0,0.002,0.0,0.0
papadopoulos connections russian,1.0,0.002,0.0,0.0
nondisclosure agreements initiating,1.0,0.002,0.0,0.0
nancy pelosi d-calif,1.0,0.002,0.0,0.0
moore sexually assaulted,1.0,0.002,0.0,0.0
moore denies franken's,1.0,0.002,0.0,0.0
moore conundrum roy,1.0,0.002,0.0,0.0
moore alabama senate,1.0,0.002,1.0,0.004
mitch mcconnell r-ky,1.0,0.002,0.0,0.0
mitch mcconnell kentucky,1.0,0.002,0.0,0.0
minnesota tina smith,1.0,0.002,0.0,0.0
